,Ciudad,Dueño,Nivel,Alianza,Isla,xCoord,yCoord
6,Polis,Odysseus-0648,1,None,Angaios,62,48
7,Polis,cannaett,0,IMP-V,Angaios,62,48
8,fulero1,PPfulerbarrigon,4,None,Angaios,62,48
11,Sulfato,Orpheus-2868,4,None,Angaios,62,48
13,Polis,Oscar,4,None,Angaios,62,48
17,Calaris,Enel3030,13,-RR-,Mirruos,50,50
18,Cólera-Land,CAZADOR,21,HDP,Mirruos,50,50
19,Palazzo Lho,Laertix,15,LhO,Mirruos,50,50
20,OMG,Zaikairo,15,HDP,Mirruos,50,50
21,WILLI,MEMOCRAKING,10,None,Mirruos,50,50
22,cEntrO DL mUndO,Natural_Mc,13,xVx,Mirruos,50,50
23,Mar-Festo,guillejen,17,HDP,Mirruos,50,50
24,Polis,KIKO,4,None,Mirruos,50,50
25,debora meltrozo,Tequila,7,None,Mirruos,50,50
26,Braavos,ElRojo,13,V-K,Mirruos,50,50
27,Infierno,Bruto,13,HDP,Mirruos,50,50
28,Vigo,Tigraso,13,V-K,Mirruos,50,50
29,No soy multi,Tequila,6,None,Mirruos,50,50
30,Guanajuato,Pablo Escobar,9,None,Mirruos,50,50
31,Black Bullet,dotb,13,-CB-,Mirruos,50,50
32,Delicious,Zaikairo,16,HDP,Mirruos,50,50
33,Colitis-land,CAZADOR,21,HDP,Mirruos,50,50
34,DikKTuSiYYoNo,Cnmigotunopuede,9,T-I,Tineos,51,50
35,Cristalopolis,Jaime,8,LhO,Tineos,51,50
36,Polis,Panfila,7,None,Tineos,51,50
37,Polis,-LIDER-,1,xVx,Tineos,51,50
38,Polis,Napoleon,4,None,Tineos,51,50
39,The Last,El Ultimo,7,None,Tineos,51,50
40,Kepoi,SI3RR4,10,T-I,Tineos,51,50
41,Polis,Adonis-2839,4,None,Tineos,51,50
42,SindroCris,Sindrome,5,None,Tineos,51,50
43,UNNO,Vándalo Salvaje,13,-CB-,Tineos,51,50
44,An cá tu awela,NaNocK91,11,T-I,Tineos,51,50
45,Cris - Peta,ARMAGEDON,1,None,Tineos,51,50
46,CRISTALDO,ANON Y MUS,5,None,Tineos,51,50
47,San Carlos️,Vale07,6,None,Tineos,51,50
48,Natural_Mc,Natural_Mc,12,xVx,Tineos,51,50
49,Egipto,La_Momia,4,None,Tineos,51,50
51,Pentos,ElRojo,12,V-K,Moroeos,50,49
52,Pandora,El malo,11,V-K,Moroeos,50,49
53,Polis,Vándalo Salvaje,1,-CB-,Moroeos,50,49
54,Polis,-LIDER-,1,xVx,Moroeos,50,49
55,Pelotazos City,Nyandari,9,T-I,Moroeos,50,49
56,azu BAR,Natural_Mc,1,xVx,Moroeos,50,49
57,City-A-,N3tp,9,V-K,Moroeos,50,49
58,Sulfur,Atenares,9,None,Moroeos,50,49
59,Polis,europa,1,None,Moroeos,50,49
60,Panem,Adonis-9104,4,-EE-,Moroeos,50,49
61,BOEDO,RAPIÑOMANO,8,HDP,Moroeos,50,49
62,RoMa,AuReLiO,9,None,Moroeos,50,49
63,CITADEL,Ottomano,6,-IL-,Moroeos,50,49
64,A Lastarri-LhO,Desiree,8,LhO,Moroeos,50,49
65,Terraforma LhO,Royrein,11,LhO,Moroeos,50,49
66,Alpha,El Psy Congroo,12,LhO,Moroeos,50,49
68,Mutenroshi,Xemita,10,None,Browios,51,49
69,Planta 4,Darktidus,14,V-K,Browios,51,49
70,Vingård,Atenares,11,None,Browios,51,49
71,Republik I,Maqueño,4,None,Browios,51,49
72,Meereen,ElRojo,13,V-K,Browios,51,49
73,Morat I,XLR14,10,300,Browios,51,49
74,Dhaka,Dhaka,4,None,Browios,51,49
75,oJo LocO,Osiris,9,None,Browios,51,49
76,Viñedo I,Dravy,18,CVK,Browios,51,49
77,Mavick I,Mavick,9,300,Browios,51,49
78,Woodbury,Kiniikinii,6,None,Browios,51,49
